Día,covid: (Ciudad de México),cuarentena: (Ciudad de México),semaforo: (Ciudad de México),salud mental: (Ciudad de México),pandemia: (Ciudad de México)
4/13/2020,82,9,0,0,4
4/14/2020,47,13,0,0,4
4/15/2020,40,9,0,0,0
4/16/2020,100,13,0,0,4
4/17/2020,50,5,0,0,4
4/18/2020,34,0,0,0,0
4/19/2020,58,6,0,0,0
4/20/2020,43,0,0,0,0
4/21/2020,47,4,0,0,0
4/22/2020,48,8,0,0,12
4/23/2020,46,0,0,0,0
4/24/2020,45,18,0,0,4
4/25/2020,37,5,0,0,0
4/26/2020,49,0,0,0,0
4/27/2020,20,0,0,0,0
4/28/2020,47,13,0,0,0
4/29/2020,51,0,0,0,8
4/30/2020,52,4,0,0,4
5/1/2020,70,0,0,0,0
5/2/2020,37,12,0,0,0
5/3/2020,48,0,0,0,0
5/4/2020,40,5,0,0,0
5/5/2020,21,0,0,0,0
5/6/2020,44,13,0,0,9
5/7/2020,68,17,0,0,0
5/8/2020,52,5,0,0,0
5/9/2020,24,0,0,0,0
5/10/2020,33,7,0,0,7
5/11/2020,56,14,0,0,0
5/12/2020,45,9,0,0,0
5/13/2020,54,8,0,0,0
5/14/2020,28,0,0,0,5
5/15/2020,32,5,0,0,4
5/16/2020,40,0,6,0,6
5/17/2020,35,7,0,0,0
5/18/2020,26,4,0,0,0
5/19/2020,44,9,0,0,0
5/20/2020,38,4,4,0,0
5/21/2020,37,8,0,0,0
5/22/2020,50,5,0,0,0
5/23/2020,50,0,0,0,6
5/24/2020,93,0,0,0,7
5/25/2020,35,18,4,0,4
5/26/2020,27,13,0,0,0
5/27/2020,55,9,0,0,4
5/28/2020,81,5,0,0,0
5/29/2020,46,0,4,0,8
5/30/2020,38,0,0,0,0
5/31/2020,26,13,0,0,6
6/1/2020,17,3,3,0,0
6/2/2020,27,0,4,0,8
6/3/2020,37,4,0,0,0
6/4/2020,35,4,0,0,0
6/5/2020,35,0,4,0,4
6/6/2020,34,0,5,0,5
6/7/2020,27,0,0,0,5
6/8/2020,53,0,0,0,0
6/9/2020,39,0,4,0,0
6/10/2020,42,4,8,0,4
6/11/2020,51,0,0,0,0
6/12/2020,33,10,5,0,5
6/13/2020,40,0,0,0,0
6/14/2020,61,0,0,0,7
6/15/2020,53,9,0,0,4
6/16/2020,45,9,0,0,0
6/17/2020,27,0,9,0,0
6/18/2020,21,0,0,0,0
6/19/2020,21,0,5,0,0
6/20/2020,52,13,13,0,0
6/21/2020,66,0,0,0,0
6/22/2020,23,0,5,0,0
6/23/2020,41,3,3,0,0
6/24/2020,74,0,0,0,0
6/25/2020,39,0,5,0,0
6/26/2020,56,0,22,0,0
6/27/2020,26,0,26,0,0
6/28/2020,57,0,7,0,0
6/29/2020,35,0,15,0,0
6/30/2020,35,0,5,0,0
7/1/2020,52,0,0,0,0
7/2/2020,16,5,5,0,0
7/3/2020,57,6,23,0,0
7/4/2020,28,0,0,0,0
7/5/2020,33,0,0,0,0
7/6/2020,61,0,0,0,11
7/7/2020,32,5,5,0,5
7/8/2020,31,0,5,0,0
7/9/2020,23,0,12,0,6
7/10/2020,20,0,5,0,10
7/11/2020,28,7,14,0,0
7/12/2020,22,0,0,0,0
7/13/2020,34,0,5,0,5
7/14/2020,34,0,10,0,0
7/15/2020,5,5,5,0,0
7/16/2020,50,0,0,0,0
7/17/2020,37,5,21,5,0
7/18/2020,28,0,14,0,0
7/19/2020,22,0,15,0,0
7/20/2020,47,0,5,0,0
7/21/2020,24,5,10,0,5
7/22/2020,59,5,5,0,0
7/23/2020,32,0,0,0,5
7/24/2020,31,0,16,0,0
7/25/2020,50,0,7,0,7
7/26/2020,36,0,22,0,0
7/27/2020,29,5,5,0,0
7/28/2020,59,0,5,0,0
7/29/2020,54,0,19,0,5
7/30/2020,70,0,16,0,0
7/31/2020,42,0,6,0,0
8/1/2020,30,0,8,0,8
8/2/2020,51,0,17,0,9
8/3/2020,21,0,0,0,0
8/4/2020,42,0,0,0,0
8/5/2020,24,0,0,0,0
8/6/2020,22,0,6,0,0
8/7/2020,24,0,0,0,5
8/8/2020,19,0,6,0,0
8/9/2020,20,0,13,0,7
8/10/2020,38,5,0,0,0
8/11/2020,43,0,6,0,0
8/12/2020,44,0,19,0,6
8/13/2020,37,0,11,0,5
8/14/2020,22,0,0,0,6
8/15/2020,8,0,8,0,8
8/16/2020,43,0,0,0,0
8/17/2020,22,0,0,0,0
8/18/2020,24,12,12,0,0
8/19/2020,50,0,0,0,0
8/20/2020,21,0,0,0,5
8/21/2020,32,0,19,0,0
8/22/2020,17,0,0,0,0
8/23/2020,24,0,8,8,0
8/24/2020,24,0,0,0,0
8/25/2020,39,0,5,0,0
8/26/2020,32,0,5,0,16
8/27/2020,27,0,4,0,0
8/28/2020,34,5,10,0,0
8/29/2020,12,0,12,0,0
8/30/2020,28,0,7,0,0
8/31/2020,29,5,5,0,0
9/1/2020,34,0,0,0,10
9/2/2020,20,5,5,0,0
9/3/2020,43,0,10,0,0
9/4/2020,11,0,11,0,11
9/5/2020,8,0,0,0,0
9/6/2020,28,0,0,0,0
9/7/2020,9,0,0,0,0
9/8/2020,14,0,0,0,0
9/9/2020,22,0,9,0,4
9/10/2020,9,5,5,0,0
9/11/2020,55,0,5,0,0
9/12/2020,29,0,15,0,0
9/13/2020,34,7,14,0,0
9/14/2020,20,0,5,0,0
9/15/2020,11,0,0,0,5
9/16/2020,14,0,0,0,14
9/17/2020,14,0,0,0,5
9/18/2020,21,0,11,0,5
9/19/2020,34,0,0,0,0
9/20/2020,21,0,0,0,0
9/21/2020,49,0,5,0,0
9/22/2020,50,0,0,0,0
9/23/2020,22,0,0,0,0
9/24/2020,14,9,0,0,0
9/25/2020,11,0,11,0,0
9/26/2020,49,0,0,0,0
9/27/2020,17,0,0,0,0
9/28/2020,29,0,0,0,0
9/29/2020,16,0,16,0,0
9/30/2020,32,0,0,0,0
10/1/2020,10,5,10,0,0
10/2/2020,47,0,10,0,0
10/3/2020,38,0,8,0,0
10/4/2020,23,0,0,0,15
10/5/2020,20,0,5,0,0
10/6/2020,65,0,5,0,0
10/7/2020,14,0,0,0,0
10/8/2020,30,0,5,0,0
10/9/2020,31,0,5,0,0
10/10/2020,38,0,0,0,0
10/11/2020,9,0,0,0,0
10/12/2020,28,0,0,0,0
10/13/2020,31,0,0,0,5
10/14/2020,25,0,5,0,0
10/15/2020,16,0,0,0,5
10/16/2020,18,0,0,0,6
10/17/2020,33,0,0,0,0
10/18/2020,27,0,9,0,0
10/19/2020,19,0,0,0,0
10/20/2020,28,0,0,0,0
10/21/2020,55,0,0,0,5
10/22/2020,43,0,5,0,16
10/23/2020,72,0,33,0,0
10/24/2020,23,0,0,0,0
10/25/2020,45,0,0,0,0
10/26/2020,54,0,0,0,16
10/27/2020,34,0,6,0,0
10/28/2020,21,0,5,0,0
10/29/2020,45,0,25,0,5
10/30/2020,34,0,17,0,0
10/31/2020,40,0,0,0,0
11/1/2020,8,0,0,0,0
11/2/2020,55,0,0,0,0
11/3/2020,34,0,0,0,0
11/4/2020,16,0,0,0,0
11/5/2020,31,0,0,0,0
11/6/2020,32,0,11,0,0
11/7/2020,12,0,13,0,0
11/8/2020,24,0,0,0,8
11/9/2020,41,0,0,0,0
11/10/2020,29,0,0,0,6
11/11/2020,11,0,0,0,0
11/12/2020,5,0,5,0,0
11/13/2020,28,0,0,0,5
11/14/2020,43,0,9,0,0
11/15/2020,35,0,18,0,0
11/16/2020,63,0,14,0,7
11/17/2020,39,0,15,0,10
11/18/2020,12,0,0,0,0
11/19/2020,23,0,0,0,6
11/20/2020,42,0,6,0,6
11/21/2020,15,0,0,0,0
11/22/2020,8,0,0,0,0
11/23/2020,22,0,0,0,0
11/24/2020,24,0,0,0,0
11/25/2020,21,0,0,0,0
11/26/2020,28,0,6,0,0
11/27/2020,26,0,13,0,0
11/28/2020,32,0,8,0,0
11/29/2020,27,0,0,0,0
11/30/2020,50,0,10,0,0
12/1/2020,33,0,6,0,0
12/2/2020,39,0,13,0,0
12/3/2020,46,0,0,0,6
12/4/2020,47,0,12,0,0
12/5/2020,39,0,0,0,0
12/6/2020,15,0,0,0,0
12/7/2020,33,0,6,0,0
